Variables,Test_STD,Ref._STD,Correlation
PRECT global,2.724,2.727,0.944
SWCF global,27.134,26.819,0.971
LWCF global,12.536,12.092,0.942
PSL global,11.911,11.512,0.986
TREFHT global,13.764,13.996,0.999
TREFHT land,18.496,18.969,0.999
