Variables,Test_STD,Ref._STD,Correlation
PRECT global,2.3,2.309,0.981
SWCF global,20.725,20.771,0.985
LWCF global,10.936,10.521,0.98
PSL global,10.98,10.474,0.994
TREFHT global,13.876,13.879,1.0
TREFHT land,18.396,18.472,0.999
