Variables,Test_STD,Ref._STD,Correlation
PRECT global,2.404,2.514,0.939
SWCF global,23.32,24.191,0.962
LWCF global,11.72,11.654,0.926
PSL global,10.517,9.958,0.981
TREFHT global,14.895,14.83,0.999
TREFHT land,20.019,19.878,0.999
