Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PSL global ERA-Interim,mbar,1011.356,1011.443,-0.087,11.992,8.71,4.436,0.957
FSNS global ERA-Interim,W/m2,165.343,168.553,-3.21,89.459,84.851,19.311,0.978
FLNS global ERA-Interim,W/m2,50.994,55.505,-4.511,19.394,19.466,11.192,0.861
NET_FLUX_SRF global ERA-Interim,W/m2,11.205,15.438,-4.234,86.708,88.951,27.763,0.952
PRECT global ERA-Interim,mm/day,3.088,2.895,0.194,2.906,2.724,1.581,0.847
TMQ global ERA-Interim,kg/m2,23.325,23.315,0.01,14.738,15.456,2.72,0.985
U-200mb global ERA-Interim,m/s,18.276,16.982,1.294,13.881,14.76,5.582,0.93
Z3-500mb global ERA-Interim,hectometer,56.263,56.403,-0.14,2.84,2.695,0.447,0.99
OMEGA-200mb global ERA-Interim,mbar/day,0.177,0.003,0.175,16.585,12.645,11.367,0.729
OMEGA-500mb global ERA-Interim,mbar/day,-0.321,0.0,-0.321,30.44,27.218,22.613,0.698
OMEGA-850mb global ERA-Interim,mbar/day,-0.131,2.169,-2.3,34.411,39.804,28.984,0.653
T-850mb global ERA-Interim,K,279.092,279.836,-0.745,11.137,11.943,1.986,0.992
T-200mb global ERA-Interim,K,216.948,219.213,-2.264,3.024,3.075,4.981,-0.059
TAUXY ocean ERA-Interim,N/m^2,0.079,0.071,0.008,0.061,0.05,0.038,0.783
LHFLX global MERRA2,W/m2,88.829,83.742,5.086,62.086,60.352,20.646,0.947
SHFLX global MERRA2,W/m2,14.316,17.321,-3.005,24.215,25.204,13.516,0.859
PSL global MERRA2,mbar,1011.356,1011.062,0.294,11.992,8.615,4.564,0.955
FSNS global MERRA2,W/m2,165.343,167.776,-2.433,89.459,86.174,20.874,0.973
FLNS global MERRA2,W/m2,50.994,61.18,-10.186,19.394,19.582,14.667,0.853
NET_FLUX_SRF global MERRA2,W/m2,11.205,5.534,5.671,86.708,80.931,29.937,0.941
PRECT global MERRA2,mm/day,3.088,2.926,0.162,2.906,3.045,2.04,0.768
TMQ global MERRA2,kg/m2,23.325,23.701,-0.376,14.738,15.943,3.093,0.983
U-850mb global MERRA2,m/s,1.278,0.909,0.369,6.798,6.061,2.119,0.953
U-200mb global MERRA2,m/s,18.276,17.331,0.945,13.881,14.563,5.472,0.929
Z3-500mb global MERRA2,hectometer,56.263,56.371,-0.108,2.84,2.691,0.448,0.989
OMEGA-200mb global MERRA2,mbar/day,0.177,-0.098,0.275,16.585,12.783,11.422,0.727
OMEGA-500mb global MERRA2,mbar/day,-0.321,0.056,-0.377,30.44,28.953,25.181,0.642
OMEGA-850mb global MERRA2,mbar/day,-0.131,0.213,-0.344,34.411,37.315,29.711,0.639
T-850mb global MERRA2,K,279.092,276.492,2.6,11.137,27.619,14.235,0.636
