Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
FSNS global ERA-Interim,W/m2,155.214,156.735,-1.521,79.734,77.782,19.226,0.971
FLNS global ERA-Interim,W/m2,52.849,55.713,-2.865,22.916,21.907,11.536,0.877
NET_FLUX_SRF global ERA-Interim,W/m2,-7.059,-3.968,-3.092,78.226,74.007,27.316,0.938
PRECT global ERA-Interim,mm/day,3.15,2.988,0.162,3.203,2.804,1.756,0.839
TMQ global ERA-Interim,kg/m2,26.043,25.939,0.104,14.86,14.967,3.042,0.979
U-850mb global ERA-Interim,m/s,1.782,1.139,0.642,6.92,5.814,2.358,0.949
U-200mb global ERA-Interim,m/s,15.674,12.972,2.701,16.191,16.052,5.34,0.959
Z3-500mb global ERA-Interim,hectometer,56.759,56.891,-0.132,2.926,2.614,0.42,0.996
OMEGA-200mb global ERA-Interim,mbar/day,0.183,0.002,0.181,17.103,12.978,11.204,0.756
OMEGA-500mb global ERA-Interim,mbar/day,-0.347,-0.0,-0.347,31.037,27.098,21.568,0.733
OMEGA-850mb global ERA-Interim,mbar/day,-0.184,2.642,-2.826,37.842,46.269,29.537,0.676
T-850mb global ERA-Interim,K,282.068,282.609,-0.541,10.175,11.288,1.793,0.991
T-200mb global ERA-Interim,K,216.811,218.771,-1.96,5.043,4.954,2.332,0.968
TAUXY ocean ERA-Interim,N/m^2,0.085,0.075,0.011,0.07,0.058,0.036,0.868
LHFLX global MERRA2,W/m2,91.588,87.697,3.89,59.888,55.764,24.455,0.915
SHFLX global MERRA2,W/m2,17.837,20.502,-2.665,23.267,25.724,14.458,0.836
PSL global MERRA2,mbar,1011.077,1010.716,0.361,11.485,8.913,4.401,0.938
FSNS global MERRA2,W/m2,155.214,159.986,-4.772,79.734,79.864,23.623,0.958
FLNS global MERRA2,W/m2,52.849,62.11,-9.261,22.916,21.98,14.158,0.887
NET_FLUX_SRF global MERRA2,W/m2,-7.059,-10.324,3.264,78.226,75.196,30.355,0.923
PRECT global MERRA2,mm/day,3.15,3.066,0.084,3.203,3.187,2.296,0.742
TMQ global MERRA2,kg/m2,26.043,26.551,-0.508,14.86,15.517,3.211,0.979
U-850mb global MERRA2,m/s,1.782,1.008,0.774,6.92,6.097,2.445,0.944
U-200mb global MERRA2,m/s,15.674,13.413,2.26,16.191,15.666,5.164,0.958
Z3-500mb global MERRA2,hectometer,56.759,56.876,-0.118,2.926,2.613,0.421,0.996
OMEGA-200mb global MERRA2,mbar/day,0.183,-0.099,0.282,17.103,14.305,12.079,0.718
OMEGA-500mb global MERRA2,mbar/day,-0.347,0.038,-0.386,31.037,29.232,24.575,0.669
T-850mb global MERRA2,K,282.068,279.286,2.782,10.175,27.292,15.582,0.501
T-200mb global MERRA2,K,216.811,218.559,-1.748,5.043,5.042,2.183,0.966
TAUXY ocean MERRA2,N/m^2,0.085,0.08,0.005,0.07,0.063,0.035,0.864
CLDTOT_TAU1.3_ISCCP global ISCCPCOSP,%,50.495,51.872,-1.377,24.249,18.456,15.893,0.749
CLDTOT_TAU1.3_9.4_ISCCP global ISCCPCOSP,%,23.566,34.017,-10.451,11.137,10.517,13.84,0.633
CLDTOT_TAU9.4_ISCCP global ISCCPCOSP,%,26.929,17.855,9.074,17.675,11.442,15.827,0.704
CLDTOT_TAU1.3_MISR global MISRCOSP,%,50.526,52.644,-2.119,24.461,19.304,16.273,0.705
CLDTOT_TAU1.3_9.4_MISR global MISRCOSP,%,23.569,32.041,-8.472,11.344,9.054,11.103,0.497
CLDTOT_TAU9.4_MISR global MISRCOSP,%,26.956,20.603,6.353,17.897,12.541,14.621,0.682
CLDLOW_TAU1.3_MISR global MISRCOSP,%,27.927,31.339,-3.412,20.294,17.261,15.572,0.638
CLDLOW_TAU1.3_9.4_MISR global MISRCOSP,%,15.799,21.148,-5.349,12.178,9.683,9.242,0.639
CLDLOW_TAU9.4_MISR global MISRCOSP,%,12.129,10.192,1.937,11.13,9.104,10.501,0.502
CLDTOT_TAU1.3_MODIS global MODISCOSP,%,48.528,47.805,0.723,24.363,22.772,16.634,0.751
CLDTOT_TAU1.3_9.4_MODIS global MODISCOSP,%,23.738,24.402,-0.663,11.295,10.253,10.173,0.549
CLDTOT_TAU9.4_MODIS global MODISCOSP,%,24.79,23.403,1.386,18.126,14.738,12.253,0.744
CLDHGH_TAU1.3_MODIS global MODISCOSP,%,32.035,26.543,5.492,22.178,19.117,15.957,0.75
